ID,fluxo_AH,Fluxo iOD907
aaaab,0.0,0.0
aaaac,0.0,0.0
aaaad,0.0,0.0
aaaae,0.0,0.0
aaaaf,0.0,0.0
EX_00017_,0.0,0.0
aaaag,0.0,0.0
aaaah,0.0,0.0
aaaai,0.011360556,0.02964255894709253
aaaaj,0.0,0.0
EX_00025_,0.0,0.0
aaaba,0.0,0.0
EX_00027_,0.0,0.0
aaabb,0.0,0.0
aaabc,0.0,0.0
aaabd,-0.21420011654287383,0.0
aaabe,0.0,0.0
aaabf,0.0,0.0
aaabg,0.0,0.0
EX_00045_,0.0,0.0
aaabh,0.0,0.0
aaabi,0.0,0.0
aaabj,0.0,0.0
aaaca,0.01074247,0.02802981651711176
aaacb,0.0,0.0
EX_00055_,0.0,0.0
aaacc,0.0,0.0
EX_00057_,0.0,0.0
aaacd,0.0,3.765104170467922e-16
aaace,0.0,0.0
EX_00061_,0.0,0.0
aaacf,0.0,0.0
EX_00064_,0.0,0.0
aaacg,0.0,0.0
EX_00065_,0.0,0.0
aaach,0.0,0.0
EX_00068_,0.0,0.0
aaaci,0.0,0.0
aaacj,0.0,-0.05573422793861414
aaada,0.0,0.0
aaadb,0.00017588199999999998,0.00045892054515047774
aaadc,0.0,0.0
EX_00077_,0.0,0.0
aaadd,0.0,0.0
EX_00079_,0.0,0.0
aaade,-1.699999950308474e-08,0.0
aaadf,0.0,0.0
aaadg,0.0,0.0
EX_00085_,0.0,0.0
aaadh,0.0,0.0
EX_00087_,0.0,0.0
aaadi,0.0,0.0
aaadj,0.0,0.0
aaaea,0.0,0.0
aaaeb,0.006895914,0.017993180724524455
aaaec,-0.003142484000000001,-0.008199534178634832
aaaed,0.0,0.0
EX_00098_,-2.0400002795991435e-08,3.5485834904963685e-08
aaaee,0.0,0.0
aaaef,-0.002505698,-0.006537998727228829
aaaeg,0.0,0.0
aaaeh,0.0,0.0
aaaei,0.0,0.0
aaaej,0.0,0.0
aaafa,0.0,0.0
aaafb,0.0,0.0
aaafc,0.0,0.0
aaafd,0.0,0.0
EX_00113_,0.0,0.0
aaafe,0.0,0.0
EX_00115_,0.0,0.0
aaaff,0.0,0.0
aaafg,0.0,0.0
aaafh,0.0,0.0
aaafi,0.0,0.0
EX_00120_,0.0,0.0
aaafj,0.0,0.0
EX_00122_,0.0,0.0
aaaga,1.535100000049681e-05,4.009899215310551e-05
aaagb,0.0,0.0
aaagc,0.0,0.0
EX_00128_,0.0,0.0
aaagd,0.0,0.0
aaage,2.3800000000000003e-05,6.210020908666814e-05
aaagf,0.0,0.0
EX_00134_,0.0,0.0
aaagg,0.0,0.0
aaagh,0.0,0.0
aaagi,0.0,0.0
aaagj,0.0,0.0
aaaha,0.0,0.0
aaahb,0.0,0.0
aaahc,-1.3831199999999903e-06,-1.3232667410524807e-05
aaahd,0.0,9.623758116745315e-06
aaahe,0.0,0.0
aaahf,-3.399999983638713e-08,0.0
aaahg,0.0,0.0
aaahh,0.0,0.0
aaahi,0.0,0.0
aaahj,0.0,0.0
aaaia,0.0,0.0
aaaib,0.0,-0.04979922224161001
aaaic,0.0,0.0
aaaid,0.0,0.0
aaaie,-0.019085662000000805,0.0
aaaif,0.0,0.0
aaaig,0.0,0.0
aaaih,0.0,0.0
aaaii,0.0,0.0
aaaij,0.0,0.0
EX_00179_,0.0,0.0
aaaja,0.0,0.0
aaajb,0.0,0.0
EX_00183_,0.0,0.0
aaajc,0.0,0.0
aaajd,0.0,9.623758116745315e-06
